Артикул;Тип;Категория;Название;Цвет;Материал;Комната;Количество;Стоимость;Ссылка;;
592.702.88;Диван;Мягкая мебель;Ландскруна;Светло-зелёный/металл;Ткань;Гостиная;1;35 999  ;https://www.ikea.com/ru/ru/p/landskrona-landskruna-2-mestnyy-divan-gunnared-svetlo-zelenyy-metall-s59270288/;;
604.429.67;Табурет-столик;Столы и стулья;Гамлегульт;Антрацит;Ротанг;Гостиная;1;5 999  ;https://www.ikea.com/ru/ru/p/gamlehult-gamlegult-taburet-dlya-nog-s-yashch-d-hrn-rotang-antracit-60442967/;;
304.429.64;Кресло;Мягкая мебель;Буксбу;;Ротанг;Гостиная;1;8 499  ;https://www.ikea.com/ru/ru/p/buskbo-buskbu-kreslo-rotang-30442964/;;
104.150.99;Потолочная лампа;Освещение;Нимоне;Антрацит;Светодиоды;Гостиная;1;2 999  ;https://www.ikea.com/ru/ru/p/nymane-nimone-svetodiodnyy-potolochnyy-svetilnik-antracit-10415099/;;
094.178.29;Торшер;Освещение;Регнскур/Скафтет;Розовый/чёрный;Металл, ткань;Гостиная;1;6 999  ;https://www.ikea.com/ru/ru/p/regnskur-regnskur-skaftet-skaftet-torsher-arochnyy-rozovyy-chernyy-s09417829/ ;;
904.135.29;Тумба под телевизор;Хранение;Хемнэс;Белая морилка/светло-коричневый;Дерево;Гостиная;1;12 999  ;https://www.ikea.com/ru/ru/p/hemnes-hemnes-tumba-pod-tv-belaya-morilka-svetlo-korichnevyy-90413529/ ;;
;Телевизор;Техника;"Xiaomi MI TV 43 P1 43""";Чёрный;Пластик;Гостиная;1;33 999  ;https://www.ozon.ru/product/4k-uhd-televizor-xiaomi-mi-tv-43-p1-43-309187475/?asb=nUQZh5vMlAiUpSCux06d4Jdaqk0Rf2MhdOJAuKD88CE%253D&asb2=vwWNNtogPYVq5fD00Qam9qDZitErG9LXL3_P1xYhIU0&sh=pnSszXqv;;
503.740.68;Плед;Декор;Игабрита;Бледно-розовый;Акрил, хлопок;Гостиная;1;1 699  ;https://www.ikea.com/ru/ru/p/ingabritta-igabritta-pled-bledno-rozovyy-50374068/;;
804.989.96;Ковёр;Декор;Таннисбю;Серый, чёрный;Шерсть, хлопок;Гостиная;1;15 999  ;https://www.ikea.com/ru/ru/p/tannisby-tannisbyu-kover-bezvorsovyy-ruchnaya-rabota-seryy-chernyy-80498996/;;
903.742.31;Противоскользящая подстилка под ковёр;Декор;Стоп;Белый;Синтетический каучук;Гостиная;2;398  ;https://www.ikea.com/ru/ru/p/stopp-stop-protivoskolzyashchaya-podstilka-90374231/;;
892.911.85;Полка;Хранение;Бергсхульт/Персгульт;Белый;Дерево;Гостиная;1;3 198  ;https://www.ikea.com/ru/ru/p/bergshult-bergshult-pershult-persgult-navesnaya-polka-kombinaciya-belyy-belyy-s89291185/;;
603.719.17;Растение;Декор;Хедера Хеликс;;;Гостиная;1;249  ;https://www.ikea.com/ru/ru/p/hedera-helix-hedera-heliks-rastenie-v-gorshke-plyushch-60371917/;;
004.449.07;Растение;Декор;Антуриум;;;Гостиная;1;699  ;https://www.ikea.com/ru/ru/p/anthurium-anturium-rastenie-v-gorshke-anturium-00444907/;;
303.719.14;Растение;Декор;Дипсис желтоватый;;;Гостиная;1;2 999  ;https://www.ikea.com/ru/ru/p/dypsis-lutescens-dipsis-zheltovatyy-rastenie-v-gorshke-hrizalidokarpus-zheltovatyy-30371914/;;
904.243.25;Часы;Декор;Ротблота;Светло-серый;Ясеневый шпон;Гостиная;1;2 999  ;https://www.ikea.com/ru/ru/p/rotbloeta-rotblota-nastennye-chasy-yasenevyy-shpon-svetlo-seryy-90424325/;;
103.764.70;Корзина;Декор;Флодис;;Морские водоросли;Гостиная;1;799  ;https://www.ikea.com/ru/ru/p/fladis-flodis-korzina-vodorosli-10376470/;;
804.657.74;Постер;Декор;Кноппэнг;;Дерево;Гостиная;1;1 299  ;https://www.ikea.com/ru/ru/p/knoppaeng-knoppeng-rama-s-posterom-sad-80465774/;;
492.107.42;Кровать;Мягкая мебель;Бримэнс;Белый;Дерево;Спальня;1;21 999  ;https://www.ikea.com/ru/ru/p/brimnes-brimnes-karkas-krovati-s-izgolovem-belyy-lonset-s49210742/;;
504.258.07;Матрас;Мягкая мебель;Хиллестад;Белый;Полиэстер, хлопок;Спальня;1;21 999  ;https://www.ikea.com/ru/ru/p/hyllestad-hillestad-matras-s-pruzhinami-karmannogo-tipa-sredney-zhestkosti-belyy-50425807/;;
403.684.40;Комод;Хранение;Хэмнэс;Белый;;Спальня;1;17 999  ;https://www.ikea.com/ru/ru/p/hemnes-hemnes-komod-s-8-yashchikami-belaya-morilka-40368440/;;
693.926.37;Потолочная лампа;Освещение;Регнскур/Суннебю;Розовый;Ткань;Спальня;1;2 549  ;https://www.ikea.com/ru/ru/p/regnskur-regnskur-sunneby-sunnebyu-podvesnoy-svetilnik-rozovyy-s69392637/;;
604.640.73;Бра;Освещение;Солклинт;Латунь/серое стекло;Металл, стекло;Спальня;2;2 598  ;https://www.ikea.com/ru/ru/p/solklint-solklint-bra-latun-seroe-prozrachnoe-steklo-60464073/;;
703.692.16;Зеркало;Декор;Икорннес;Ясень;Дерево;Спальня;1;9 999  ;https://www.ikea.com/ru/ru/p/ikornnes-ikornnes-zerkalo-napolnoe-yasen-70369216/;;
804.906.41;Постельное бельё;Декор;Витклёвер;Чёрно-белая клетка;;Спальня;1;1 799  ;https://www.ikea.com/ru/ru/p/vitkloever-vitklyover-pododeyalnik-i-2-navolochki-belyy-chernyy-kletka-80490641/;;
492.984.24;Картина;Декор;Бюёркста;Цвет аллюминия;Холст, алюминий;Спальня;1;2 999  ;https://www.ikea.com/ru/ru/p/bjoerksta-byorksta-kartina-s-ramoy-prikosnovenie-cvet-alyuminiya-s49298424/;;
205.007.75;Растение;Декор;Каллуна;;;Спальня;1;399  ;https://www.ikea.com/ru/ru/p/calluna-kalluna-rastenie-v-gorshke-veresk-raznye-cveta-20500775/;;
903.804.30;Растение;Декор;Спатифиллум;;;Спальня;1;2 799  ;https://www.ikea.com/ru/ru/p/spathiphyllum-spatifillum-rastenie-v-gorshke-spatifillum-90380430/;;
003.708.88;Овечья шкура;Декор;Лудде;Белая;Овчина;Спальня;1;2 199  ;https://www.ikea.com/ru/ru/p/ludde-ludde-ovechya-shkura-neokrashennaya-belyy-00370888/;;
404.387.11;Лампочки;Освещение;Риэт;Белый;;Спальня;3;63  ;https://www.ikea.com/ru/ru/p/ryet-riet-svetodiod-e27-470-lm-sharoobraznyy-molochnyy-40438711/;;
404.387.11;Лампочки;Освещение;Риэт;Белый;;Гостиная;1;21  ;https://www.ikea.com/ru/ru/p/ryet-riet-svetodiod-e27-470-lm-sharoobraznyy-molochnyy-40438711/;;
